x	y
0.12	0.29
0.57	0.19
0.60	0.57
0.06	0.28
0.06	0.42
0.15	0.25
0.02	0.20
0.44	0.24
0.83	0.76
0.62	0.33
0.52	0.64
0.86	0.15
0.10	0.35
0.91	0.58
0.11	0.47
0.52	0.29
0.14	0.11
0.56	0.24
0.00	0.17
0.57	0.38
0.85	0.30
0.92	0.51
0.99	0.38
0.51	0.08
0.22	0.13
0.10	0.30
0.51	0.16
0.59	0.47
0.76	0.34
0.08	0.50
0.62	0.44
0.52	0.19
0.17	0.14
0.94	0.35
0.59	0.47
0.44	0.32
0.94	0.52
0.66	0.36
0.45	0.44
0.84	0.07
0.53	0.23
0.55	0.13
0.60	0.59
0.37	0.62
0.24	0.19
0.58	0.16
0.87	0.52
0.41	0.04
0.11	0.45
0.44	0.14
0.40	0.04
0.40	0.62
0.83	0.06
0.40	0.29
0.39	0.56
0.37	0.29
0.14	0.53
0.26	0.41
0.09	0.38
0.43	0.34
0.26	0.42
0.23	0.69
0.42	0.37
0.12	0.64
0.50	0.26
0.51	0.34
0.24	0.22
0.79	0.35
0.07	0.25
0.39	0.46
0.00	0.36
0.22	0.07
0.00	0.45
0.19	0.45
0.14	0.16
0.27	0.15
0.17	0.72
0.14	0.37
0.60	0.47
0.90	0.33
0.94	0.42
0.22	0.22
0.48	0.17
0.38	0.73
0.52	0.38
0.24	0.46
0.07	0.43
0.44	0.29
0.17	0.40
0.03	0.24
0.95	0.19
0.43	0.10
0.96	0.18
0.76	0.60
0.01	0.60
0.48	0.22
0.11	0.57
0.65	0.69
0.55	0.42
0.22	0.19
